!TRNS	TRNSID	TRNSTYPE	DATE	ACCNT	NAME	AMOUNT	DOCNUM	MEMO	NAMEISTAXABLE	ADDR1	ADDR2	ADDR3	ADDR4	DUEDATE	TERMS	PAID
!SPL	SPLID	TRNSTYPE	DATE	ACCNT	NAME	AMOUNT	DOCNUM	MEMO	PRICE	INVITEM	PAYMETH	TAXABLE	VALADJ	TAXCODE	TAXAMOUNT	TAXITEM
!ENDTRNS																
SPL	22	TAX INVOICE	02/28/13	Other Income		0.00			0.00	Other Income		Y		GST	0.00	GST
ENDTRNS																
TRNS	24	TAX INVOICE	02/28/13	Accounts Receivable	"Autism Spectrum Australia"	0.00	9900009022813	9900009						03/28/13		
SPL	25	TAX INVOICE	02/28/13	Conferencing		0.00			0.00	Conferencing		Y		GST	0.00	GST
SPL	26	TAX INVOICE	02/28/13	Other Income		0.00			0.00	Other Income		Y		GST	0.00	GST
ENDTRNS																
TRNS	28	TAX INVOICE	02/28/13	Accounts Receivable	"Positive Partnerships"	1103.97	9900010022813	9900010						03/28/13		
SPL	29	TAX INVOICE	02/28/13	Conferencing		-878.61			878.61	Conferencing		Y		GST	-87.86	GST
SPL	30	TAX INVOICE	02/28/13	Other Income		-125.00			125.00	Other Income		Y		GST	-12.50	GST
ENDTRNS																
TRNS	32	TAX INVOICE	02/28/13	Accounts Receivable	"Autism Spectrum Australia -Adult Support"	0.00	9900011022813	9900011						03/28/13		
SPL	33	TAX INVOICE	02/28/13	Conferencing		0.00			0.00	Conferencing		Y		GST	0.00	GST
SPL	34	TAX INVOICE	02/28/13	Other Income		0.00			0.00	Other Income		Y		GST	0.00	GST
ENDTRNS																
TRNS	36	TAX INVOICE	02/28/13	Accounts Receivable	"Autism Spectrum Australia - Education & R"	145.50	9900012022813	9900012						03/28/13		
SPL	37	TAX INVOICE	02/28/13	Conferencing		-132.27			132.27	Conferencing		Y		GST	-13.23	GST
SPL	38	TAX INVOICE	02/28/13	Other Income		0.00			0.00	Other Income		Y		GST	0.00	GST
ENDTRNS																
TRNS	40	TAX INVOICE	02/28/13	Accounts Receivable	"Autism Spectrum Australia - AutismPro Sup"	0.00	9900013022813	9900013						03/28/13		
SPL	41	TAX INVOICE	02/28/13	Conferencing		0.00			0.00	Conferencing		Y		GST	0.00	GST
SPL	42	TAX INVOICE	02/28/13	Other Income		0.00			0.00	Other Income		Y		GST	0.00	GST
ENDTRNS																
TRNS	44	TAX INVOICE	02/28/13	Accounts Receivable	"Autism Spectrum Australia - Volunteer Pro"	0.00	9900014022813	9900014						03/28/13		
SPL	45	TAX INVOICE	02/28/13	Conferencing		0.00			0.00	Conferencing		Y		GST	0.00	GST
SPL	46	TAX INVOICE	02/28/13	Other Income		0.00			0.00	Other Income		Y		GST	0.00	GST
ENDTRNS																
TRNS	48	TAX INVOICE	02/28/13	Accounts Receivable	"Fitness Australia"	1231.07	9900015022813	9900015						03/28/13		
SPL	49	TAX INVOICE	02/28/13	Conferencing		-1119.15			1119.15	Conferencing		Y		GST	-111.92	GST
SPL	50	TAX INVOICE	02/28/13	Other Income		0.00			0.00	Other Income		Y		GST	0.00	GST
ENDTRNS																
TRNS	52	TAX INVOICE	02/28/13	Accounts Receivable	"Autism Spectrum Australia - Behavior Supp"	0.00	9900016022813	9900016						03/28/13		
SPL	53	TAX INVOICE	02/28/13	Conferencing		0.00			0.00	Conferencing		Y		GST	0.00	GST
SPL	54	TAX INVOICE	02/28/13	Other Income		0.00			0.00	Other Income		Y		GST	0.00	GST
ENDTRNS																
TRNS	56	TAX INVOICE	02/28/13	Accounts Receivable	"Resolve Collaboration"	0.00	9900017022813	9900017						03/28/13		
SPL	57	TAX INVOICE	02/28/13	Conferencing		0.00			0.00	Conferencing		Y		GST	0.00	GST
SPL	58	TAX INVOICE	02/28/13	Other Income		0.00			0.00	Other Income		Y		GST	0.00	GST
ENDTRNS																
TRNS	60	TAX INVOICE	02/28/13	Accounts Receivable	"Autism Spectrum Australia"	0.00	9900018022813	9900018						03/28/13		
SPL	61	TAX INVOICE	02/28/13	Conferencing		0.00			0.00	Conferencing		Y		GST	0.00	GST
SPL	62	TAX INVOICE	02/28/13	Other Income		0.00			0.00	Other Income		Y		GST	0.00	GST
ENDTRNS																
TRNS	64	TAX INVOICE	02/28/13	Accounts Receivable	"Ministry of Fair Trading"	0.00	9900019022813	9900019						03/28/13		
SPL	65	TAX INVOICE	02/28/13	Conferencing		0.00			0.00	Conferencing		Y		GST	0.00	GST
SPL	66	TAX INVOICE	02/28/13	Other Income		0.00			0.00	Other Income		Y		GST	0.00	GST
ENDTRNS																
TRNS	68	TAX INVOICE	02/28/13	Accounts Receivable	"Unions NSW"	0.00	9900020022813	9900020						03/28/13		
SPL	69	TAX INVOICE	02/28/13	Conferencing		0.00			0.00	Conferencing		Y		GST	0.00	GST
SPL	70	TAX INVOICE	02/28/13	Other Income		0.00			0.00	Other Income		Y		GST	0.00	GST
ENDTRNS																
TRNS	72	TAX INVOICE	02/28/13	Accounts Receivable	"Cottesloe Town Council"	0.00	9900021022813	9900021						03/28/13		
SPL	73	TAX INVOICE	02/28/13	Conferencing		0.00			0.00	Conferencing		Y		GST	0.00	GST
SPL	74	TAX INVOICE	02/28/13	Other Income		0.00			0.00	Other Income		Y		GST	0.00	GST
ENDTRNS																
TRNS	76	TAX INVOICE	02/28/13	Accounts Receivable	"Cornucopia Fundraising"	624.83	9900022022813	9900022						03/28/13		
SPL	77	TAX INVOICE	02/28/13	Conferencing		-568.03			568.03	Conferencing		Y		GST	-56.80	GST
SPL	78	TAX INVOICE	02/28/13	Other Income		0.00			0.00	Other Income		Y		GST	0.00	GST
ENDTRNS																
TRNS	80	TAX INVOICE	02/28/13	Accounts Receivable	"IPA Personnel"	0.00	9900023022813	9900023						03/28/13		
SPL	81	TAX INVOICE	02/28/13	Conferencing		0.00			0.00	Conferencing		Y		GST	0.00	GST
SPL	82	TAX INVOICE	02/28/13	Other Income		0.00			0.00	Other Income		Y		GST	0.00	GST
ENDTRNS																
TRNS	84	TAX INVOICE	02/28/13	Accounts Receivable	"Autism Spectrum Australia - Family Initia"	0.00	9900024022813	9900024						03/28/13		
SPL	85	TAX INVOICE	02/28/13	Conferencing		0.00			0.00	Conferencing		Y		GST	0.00	GST
SPL	86	TAX INVOICE	02/28/13	Other Income		0.00			0.00	Other Income		Y		GST	0.00	GST
ENDTRNS																
TRNS	88	TAX INVOICE	02/28/13	Accounts Receivable	"Amnesty International"	3473.09	9900025022813	9900025						03/28/13		
SPL	89	TAX INVOICE	02/28/13	Conferencing		-3157.35			3157.35	Conferencing		Y		GST	-315.74	GST
SPL	90	TAX INVOICE	02/28/13	Other Income		0.00			0.00	Other Income		Y		GST	0.00	GST
ENDTRNS																
TRNS	92	TAX INVOICE	02/28/13	Accounts Receivable	"Australia 21"	370.85	9900026022813	9900026						03/28/13		
SPL	93	TAX INVOICE	02/28/13	Conferencing		-337.14			337.14	Conferencing		Y		GST	-33.71	GST
SPL	94	TAX INVOICE	02/28/13	Other Income		0.00			0.00	Other Income		Y		GST	0.00	GST
ENDTRNS																
TRNS	96	TAX INVOICE	02/28/13	Accounts Receivable	"Tronics"	240.14	9900027022813	9900027						03/28/13		
SPL	97	TAX INVOICE	02/28/13	Conferencing		-218.31			218.31	Conferencing		Y		GST	-21.83	GST
SPL	98	TAX INVOICE	02/28/13	Other Income		0.00			0.00	Other Income		Y		GST	0.00	GST
ENDTRNS																
TRNS	100	TAX INVOICE	02/28/13	Accounts Receivable	"Autism Spectrum Australia"	190.51	9900028022813	9900028						03/28/13		
SPL	101	TAX INVOICE	02/28/13	Conferencing		-173.19			173.19	Conferencing		Y		GST	-17.32	GST
SPL	102	TAX INVOICE	02/28/13	Other Income		0.00			0.00	Other Income		Y		GST	0.00	GST
ENDTRNS																
TRNS	104	TAX INVOICE	02/28/13	Accounts Receivable	"Talent2"	0.00	9900029022813	9900029						03/28/13		
SPL	105	TAX INVOICE	02/28/13	Conferencing		0.00			0.00	Conferencing		Y		GST	0.00	GST
SPL	106	TAX INVOICE	02/28/13	Other Income		0.00			0.00	Other Income		Y		GST	0.00	GST
ENDTRNS																
TRNS	108	TAX INVOICE	02/28/13	Accounts Receivable	"Embracing Health Pty Ltd"	0.00	9900030022813	9900030						03/28/13		
SPL	109	TAX INVOICE	02/28/13	Conferencing		0.00			0.00	Conferencing		Y		GST	0.00	GST
SPL	110	TAX INVOICE	02/28/13	Other Income		0.00			0.00	Other Income		Y		GST	0.00	GST
ENDTRNS																
TRNS	112	TAX INVOICE	02/28/13	Accounts Receivable	"Bunzl"	3552.02	9900031022813	9900031						03/28/13		
SPL	113	TAX INVOICE	02/28/13	Conferencing		-3229.11			3229.11	Conferencing		Y		GST	-322.91	GST
SPL	114	TAX INVOICE	02/28/13	Other Income		0.00			0.00	Other Income		Y		GST	0.00	GST
ENDTRNS																
TRNS	116	TAX INVOICE	02/28/13	Accounts Receivable	"Test Company"	0.00	9900032022813	9900032						03/28/13		
SPL	117	TAX INVOICE	02/28/13	Conferencing		0.00			0.00	Conferencing		Y		GST	0.00	GST
SPL	118	TAX INVOICE	02/28/13	Other Income		0.00			0.00	Other Income		Y		GST	0.00	GST
ENDTRNS																
TRNS	120	TAX INVOICE	02/28/13	Accounts Receivable	"Test Company"	0.00	9900033022813	9900033						03/28/13		
SPL	121	TAX INVOICE	02/28/13	Conferencing		0.00			0.00	Conferencing		Y		GST	0.00	GST
SPL	122	TAX INVOICE	02/28/13	Other Income		0.00			0.00	Other Income		Y		GST	0.00	GST
ENDTRNS																
TRNS	124	TAX INVOICE	02/28/13	Accounts Receivable	"Signature Staff"	0.00	9900034022813	9900034						03/28/13		
SPL	125	TAX INVOICE	02/28/13	Conferencing		0.00			0.00	Conferencing		Y		GST	0.00	GST
SPL	126	TAX INVOICE	02/28/13	Other Income		0.00			0.00	Other Income		Y		GST	0.00	GST
ENDTRNS																
TRNS	128	TAX INVOICE	02/28/13	Accounts Receivable	"Ochre Health Group"	198.97	9900035022813	9900035						03/28/13		
SPL	129	TAX INVOICE	02/28/13	Conferencing		-180.88			180.88	Conferencing		Y		GST	-18.09	GST
SPL	130	TAX INVOICE	02/28/13	Other Income		0.00			0.00	Other Income		Y		GST	0.00	GST
ENDTRNS																
TRNS	132	TAX INVOICE	02/28/13	Accounts Receivable	"The Lung Foundation"	1320.77	9900036022813	9900036						03/28/13		
SPL	133	TAX INVOICE	02/28/13	Conferencing		-1070.70			1070.70	Conferencing		Y		GST	-107.07	GST
SPL	134	TAX INVOICE	02/28/13	Other Income		-130.00			130.00	Other Income		Y		GST	-13.00	GST
ENDTRNS																
TRNS	136	TAX INVOICE	02/28/13	Accounts Receivable	"Cambooya Services Pty Ltd"	534.42	9900037022813	9900037						03/28/13		
SPL	137	TAX INVOICE	02/28/13	Conferencing		-485.84			485.84	Conferencing		Y		GST	-48.58	GST
SPL	138	TAX INVOICE	02/28/13	Other Income		0.00			0.00	Other Income		Y		GST	0.00	GST
ENDTRNS																
TRNS	140	TAX INVOICE	02/28/13	Accounts Receivable	"Shooting Star"	0.00	9900038022813	9900038						03/28/13		
SPL	141	TAX INVOICE	02/28/13	Conferencing		0.00			0.00	Conferencing		Y		GST	0.00	GST
SPL	142	TAX INVOICE	02/28/13	Other Income		0.00			0.00	Other Income		Y		GST	0.00	GST
ENDTRNS																
TRNS	144	TAX INVOICE	02/28/13	Accounts Receivable	"Westvic Work Force"	0.00	9900039022813	9900039						03/28/13		
SPL	145	TAX INVOICE	02/28/13	Conferencing		0.00			0.00	Conferencing		Y		GST	0.00	GST
SPL	146	TAX INVOICE	02/28/13	Other Income		0.00			0.00	Other Income		Y		GST	0.00	GST
ENDTRNS																
TRNS	148	TAX INVOICE	02/28/13	Accounts Receivable	"The Royal College of Pathologists of Aust"	3168.35	9900040022813	9900040						03/28/13		
SPL	149	TAX INVOICE	02/28/13	Conferencing		-2200.32			2200.32	Conferencing		Y		GST	-220.03	GST
SPL	150	TAX INVOICE	02/28/13	Other Income		-680.00			680.00	Other Income		Y		GST	-68.00	GST
ENDTRNS																
TRNS	152	TAX INVOICE	02/28/13	Accounts Receivable	"Australian Meat Industry Council"	0.00	9900041022813	9900041						03/28/13		
SPL	153	TAX INVOICE	02/28/13	Conferencing		0.00			0.00	Conferencing		Y		GST	0.00	GST
SPL	154	TAX INVOICE	02/28/13	Other Income		0.00			0.00	Other Income		Y		GST	0.00	GST
ENDTRNS																
TRNS	156	TAX INVOICE	02/28/13	Accounts Receivable	"Mine Subsidence Board"	0.00	9900042022813	9900042						03/28/13		
SPL	157	TAX INVOICE	02/28/13	Conferencing		0.00			0.00	Conferencing		Y		GST	0.00	GST
SPL	158	TAX INVOICE	02/28/13	Other Income		0.00			0.00	Other Income		Y		GST	0.00	GST
ENDTRNS																
TRNS	160	TAX INVOICE	02/28/13	Accounts Receivable	"Autism Spectrum Australia - Learning & De"	0.00	9900043022813	9900043						03/28/13		
SPL	161	TAX INVOICE	02/28/13	Conferencing		0.00			0.00	Conferencing		Y		GST	0.00	GST
SPL	162	TAX INVOICE	02/28/13	Other Income		0.00			0.00	Other Income		Y		GST	0.00	GST
ENDTRNS																
TRNS	164	TAX INVOICE	02/28/13	Accounts Receivable	"test account 1"	0.00	9900044022813	9900044						03/28/13		
SPL	165	TAX INVOICE	02/28/13	Conferencing		0.00			0.00	Conferencing		Y		GST	0.00	GST
SPL	166	TAX INVOICE	02/28/13	Other Income		0.00			0.00	Other Income		Y		GST	0.00	GST
ENDTRNS																
TRNS	168	TAX INVOICE	02/28/13	Accounts Receivable	"City of Greater Geraldton"	0.00	9900045022813	9900045						03/28/13		
SPL	169	TAX INVOICE	02/28/13	Conferencing		0.00			0.00	Conferencing		Y		GST	0.00	GST
SPL	170	TAX INVOICE	02/28/13	Other Income		0.00			0.00	Other Income		Y		GST	0.00	GST
ENDTRNS																
TRNS	172	TAX INVOICE	02/28/13	Accounts Receivable	"The Richmond Fellowship of NSW"	701.36	9900046022813	9900046						03/28/13		
SPL	173	TAX INVOICE	02/28/13	Conferencing		-517.60			517.60	Conferencing		Y		GST	-51.76	GST
SPL	174	TAX INVOICE	02/28/13	Other Income		-120.00			120.00	Other Income		Y		GST	-12.00	GST
ENDTRNS																
TRNS	176	TAX INVOICE	02/28/13	Accounts Receivable	"University of Technology Sydney"	0.00	9900047022813	9900047						03/28/13		
SPL	177	TAX INVOICE	02/28/13	Conferencing		0.00			0.00	Conferencing		Y		GST	0.00	GST
SPL	178	TAX INVOICE	02/28/13	Other Income		0.00			0.00	Other Income		Y		GST	0.00	GST
ENDTRNS																
TRNS	180	TAX INVOICE	02/28/13	Accounts Receivable	"Council of Remote Area Nurses of Australi"	1088.25	9900048022813	9900048						03/28/13		
SPL	181	TAX INVOICE	02/28/13	Conferencing		-974.32			974.32	Conferencing		Y		GST	-97.43	GST
SPL	182	TAX INVOICE	02/28/13	Other Income		-15.00			15.00	Other Income		Y		GST	-1.50	GST
ENDTRNS																
TRNS	184	TAX INVOICE	02/28/13	Accounts Receivable	"The Royal Australasian College of Medical"	4296.04	9900049022813	9900049						03/28/13		
SPL	185	TAX INVOICE	02/28/13	Conferencing		-3375.49			3375.49	Conferencing		Y		GST	-337.55	GST
SPL	186	TAX INVOICE	02/28/13	Other Income		-530.00			530.00	Other Income		Y		GST	-53.00	GST
ENDTRNS																
TRNS	188	TAX INVOICE	02/28/13	Accounts Receivable	"Recall"	0.00	9900050022813	9900050						03/28/13		
SPL	189	TAX INVOICE	02/28/13	Conferencing		0.00			0.00	Conferencing		Y		GST	0.00	GST
SPL	190	TAX INVOICE	02/28/13	Other Income		0.00			0.00	Other Income		Y		GST	0.00	GST
ENDTRNS																
TRNS	192	TAX INVOICE	02/28/13	Accounts Receivable	"ACE Insurance"	5598.92	9900051022813	9900051						03/28/13		
SPL	193	TAX INVOICE	02/28/13	Conferencing		-5089.93			5089.93	Conferencing		Y		GST	-508.99	GST
SPL	194	TAX INVOICE	02/28/13	Other Income		0.00			0.00	Other Income		Y		GST	0.00	GST
ENDTRNS																
TRNS	196	TAX INVOICE	02/28/13	Accounts Receivable	"AIDS Council of NSW"	0.00	9900052022813	9900052						03/28/13		
SPL	197	TAX INVOICE	02/28/13	Conferencing		0.00			0.00	Conferencing		Y		GST	0.00	GST
SPL	198	TAX INVOICE	02/28/13	Other Income		0.00			0.00	Other Income		Y		GST	0.00	GST
ENDTRNS																
TRNS	200	TAX INVOICE	02/28/13	Accounts Receivable	"Nutshell Marketing"	0.00	9900053022813	9900053						03/28/13		
SPL	201	TAX INVOICE	02/28/13	Conferencing		0.00			0.00	Conferencing		Y		GST	0.00	GST
SPL	202	TAX INVOICE	02/28/13	Other Income		0.00			0.00	Other Income		Y		GST	0.00	GST
ENDTRNS																
TRNS	204	TAX INVOICE	02/28/13	Accounts Receivable	"People2people"	0.00	9900054022813	9900054						03/28/13		
SPL	205	TAX INVOICE	02/28/13	Conferencing		0.00			0.00	Conferencing		Y		GST	0.00	GST
SPL	206	TAX INVOICE	02/28/13	Other Income		0.00			0.00	Other Income		Y		GST	0.00	GST
ENDTRNS																
TRNS	208	TAX INVOICE	02/28/13	Accounts Receivable	"Sealanes (1985) Pty Ltd"	0.00	9900055022813	9900055						03/28/13		
SPL	209	TAX INVOICE	02/28/13	Conferencing		0.00			0.00	Conferencing		Y		GST	0.00	GST
SPL	210	TAX INVOICE	02/28/13	Other Income		0.00			0.00	Other Income		Y		GST	0.00	GST
ENDTRNS																
TRNS	212	TAX INVOICE	02/28/13	Accounts Receivable	"Warrumbungle Shire Council"	0.00	9900056022813	9900056						03/28/13		
SPL	213	TAX INVOICE	02/28/13	Conferencing		0.00			0.00	Conferencing		Y		GST	0.00	GST
SPL	214	TAX INVOICE	02/28/13	Other Income		0.00			0.00	Other Income		Y		GST	0.00	GST
ENDTRNS																
TRNS	216	TAX INVOICE	02/28/13	Accounts Receivable	"BeNext PTY LTD"	0.00	9900057022813	9900057						03/28/13		
SPL	217	TAX INVOICE	02/28/13	Conferencing		0.00			0.00	Conferencing		Y		GST	0.00	GST
SPL	218	TAX INVOICE	02/28/13	Other Income		0.00			0.00	Other Income		Y		GST	0.00	GST
ENDTRNS																
TRNS	220	TAX INVOICE	02/28/13	Accounts Receivable	"The IT Consultancy Group"	0.00	9900058022813	9900058						03/28/13		
SPL	221	TAX INVOICE	02/28/13	Conferencing		0.00			0.00	Conferencing		Y		GST	0.00	GST
SPL	222	TAX INVOICE	02/28/13	Other Income		0.00			0.00	Other Income		Y		GST	0.00	GST
ENDTRNS																
TRNS	224	TAX INVOICE	02/28/13	Accounts Receivable	"Odyssey House McGrath Foundation"	42.80	9900059022813	9900059						03/28/13		
SPL	225	TAX INVOICE	02/28/13	Conferencing		-38.91			38.91	Conferencing		Y		GST	-3.89	GST
SPL	226	TAX INVOICE	02/28/13	Other Income		0.00			0.00	Other Income		Y		GST	0.00	GST
ENDTRNS																
TRNS	228	TAX INVOICE	02/28/13	Accounts Receivable	"Cattle Council of Australia"	339.78	9900060022813	9900060						03/28/13		
SPL	229	TAX INVOICE	02/28/13	Conferencing		-308.89			308.89	Conferencing		Y		GST	-30.89	GST
SPL	230	TAX INVOICE	02/28/13	Other Income		0.00			0.00	Other Income		Y		GST	0.00	GST
ENDTRNS																
TRNS	232	TAX INVOICE	02/28/13	Accounts Receivable	"Jobwire"	0.00	9900061022813	9900061						03/28/13		
SPL	233	TAX INVOICE	02/28/13	Conferencing		0.00			0.00	Conferencing		Y		GST	0.00	GST
SPL	234	TAX INVOICE	02/28/13	Other Income		0.00			0.00	Other Income		Y		GST	0.00	GST
ENDTRNS																
TRNS	236	TAX INVOICE	02/28/13	Accounts Receivable	"Exhibition and Events Association of Aust"	0.00	9900062022813	9900062						03/28/13		
SPL	237	TAX INVOICE	02/28/13	Conferencing		0.00			0.00	Conferencing		Y		GST	0.00	GST
SPL	238	TAX INVOICE	02/28/13	Other Income		0.00			0.00	Other Income		Y		GST	0.00	GST
ENDTRNS																
TRNS	240	TAX INVOICE	02/28/13	Accounts Receivable	"IPD Industrial Products"	0.00	9900063022813	9900063						03/28/13		
SPL	241	TAX INVOICE	02/28/13	Conferencing		0.00			0.00	Conferencing		Y		GST	0.00	GST
SPL	242	TAX INVOICE	02/28/13	Other Income		0.00			0.00	Other Income		Y		GST	0.00	GST
ENDTRNS																
TRNS	244	TAX INVOICE	02/28/13	Accounts Receivable	"Sales Schematics Australia Pty Ltd"	0.00	9900064022813	9900064						03/28/13		
SPL	245	TAX INVOICE	02/28/13	Conferencing		0.00			0.00	Conferencing		Y		GST	0.00	GST
SPL	246	TAX INVOICE	02/28/13	Other Income		0.00			0.00	Other Income		Y		GST	0.00	GST
ENDTRNS																
TRNS	248	TAX INVOICE	02/28/13	Accounts Receivable	"Australian Window Association"	16.37	9900065022813	9900065						03/28/13		
SPL	249	TAX INVOICE	02/28/13	Conferencing		-14.88			14.88	Conferencing		Y		GST	-1.49	GST
SPL	250	TAX INVOICE	02/28/13	Other Income		0.00			0.00	Other Income		Y		GST	0.00	GST
ENDTRNS																
TRNS	252	TAX INVOICE	02/28/13	Accounts Receivable	"AAM Pty Ltd"	1047.04	9900066022813	9900066						03/28/13		
SPL	253	TAX INVOICE	02/28/13	Conferencing		-951.85			951.85	Conferencing		Y		GST	-95.19	GST
SPL	254	TAX INVOICE	02/28/13	Other Income		0.00			0.00	Other Income		Y		GST	0.00	GST
ENDTRNS																
TRNS	256	TAX INVOICE	02/28/13	Accounts Receivable	"Essential Personnel Association Incorpora"	0.00	9900067022813	9900067						03/28/13		
SPL	257	TAX INVOICE	02/28/13	Conferencing		0.00			0.00	Conferencing		Y		GST	0.00	GST
SPL	258	TAX INVOICE	02/28/13	Other Income		0.00			0.00	Other Income		Y		GST	0.00	GST
ENDTRNS																
TRNS	260	TAX INVOICE	02/28/13	Accounts Receivable	"Australian Dental Industry Association In"	0.00	9900068022813	9900068						03/28/13		
SPL	261	TAX INVOICE	02/28/13	Conferencing		0.00			0.00	Conferencing		Y		GST	0.00	GST
SPL	262	TAX INVOICE	02/28/13	Other Income		0.00			0.00	Other Income		Y		GST	0.00	GST
ENDTRNS																
TRNS	264	TAX INVOICE	02/28/13	Accounts Receivable	"Australasian Compliance Institute"	0.00	9900069022813	9900069						03/28/13		
SPL	265	TAX INVOICE	02/28/13	Conferencing		0.00			0.00	Conferencing		Y		GST	0.00	GST
SPL	266	TAX INVOICE	02/28/13	Other Income		0.00			0.00	Other Income		Y		GST	0.00	GST
ENDTRNS																
TRNS	268	TAX INVOICE	02/28/13	Accounts Receivable	"Redkite"	1153.38	9900070022813	9900070						03/28/13		
SPL	269	TAX INVOICE	02/28/13	Conferencing		-1048.53			1048.53	Conferencing		Y		GST	-104.85	GST
SPL	270	TAX INVOICE	02/28/13	Other Income		0.00			0.00	Other Income		Y		GST	0.00	GST
ENDTRNS																
TRNS	272	TAX INVOICE	02/28/13	Accounts Receivable	"Snowy Hydro"	0.00	9900071022813	9900071						03/28/13		
SPL	273	TAX INVOICE	02/28/13	Conferencing		0.00			0.00	Conferencing		Y		GST	0.00	GST
SPL	274	TAX INVOICE	02/28/13	Other Income		0.00			0.00	Other Income		Y		GST	0.00	GST
ENDTRNS																
TRNS	276	TAX INVOICE	02/28/13	Accounts Receivable	"Le Reve"	0.00	9900072022813	9900072						03/28/13		
SPL	277	TAX INVOICE	02/28/13	Conferencing		0.00			0.00	Conferencing		Y		GST	0.00	GST
SPL	278	TAX INVOICE	02/28/13	Other Income		0.00			0.00	Other Income		Y		GST	0.00	GST
ENDTRNS																
TRNS	280	TAX INVOICE	02/28/13	Accounts Receivable	"Pet Industry Association of Aust. Ltd"	0.00	9900073022813	9900073						03/28/13		
SPL	281	TAX INVOICE	02/28/13	Conferencing		0.00			0.00	Conferencing		Y		GST	0.00	GST
SPL	282	TAX INVOICE	02/28/13	Other Income		0.00			0.00	Other Income		Y		GST	0.00	GST
ENDTRNS																
TRNS	284	TAX INVOICE	02/28/13	Accounts Receivable	"Lorraine Lea Linen"	0.00	9900074022813	9900074						03/28/13		
SPL	285	TAX INVOICE	02/28/13	Conferencing		0.00			0.00	Conferencing		Y		GST	0.00	GST
SPL	286	TAX INVOICE	02/28/13	Other Income		0.00			0.00	Other Income		Y		GST	0.00	GST
ENDTRNS																
TRNS	288	TAX INVOICE	02/28/13	Accounts Receivable	"Derham Marketing Research Pty. Ltd. "	0.00	9900075022813	9900075						03/28/13		
SPL	289	TAX INVOICE	02/28/13	Conferencing		0.00			0.00	Conferencing		Y		GST	0.00	GST
SPL	290	TAX INVOICE	02/28/13	Other Income		0.00			0.00	Other Income		Y		GST	0.00	GST
ENDTRNS																
TRNS	292	TAX INVOICE	02/28/13	Accounts Receivable	"Rondo Building Services Pty Ltd"	0.00	9900076022813	9900076						03/28/13		
SPL	293	TAX INVOICE	02/28/13	Conferencing		0.00			0.00	Conferencing		Y		GST	0.00	GST
SPL	294	TAX INVOICE	02/28/13	Other Income		0.00			0.00	Other Income		Y		GST	0.00	GST
ENDTRNS																
TRNS	296	TAX INVOICE	02/28/13	Accounts Receivable	"SARRAH"	1052.28	9900077022813	9900077						03/28/13		
SPL	297	TAX INVOICE	02/28/13	Conferencing		-956.62			956.62	Conferencing		Y		GST	-95.66	GST
SPL	298	TAX INVOICE	02/28/13	Other Income		0.00			0.00	Other Income		Y		GST	0.00	GST
ENDTRNS																
TRNS	300	TAX INVOICE	02/28/13	Accounts Receivable	"TEG"	133.83	9900078022813	9900078						03/28/13		
SPL	301	TAX INVOICE	02/28/13	Conferencing		-121.66			121.66	Conferencing		Y		GST	-12.17	GST
